"p","d","q","P","D","Q","AIC","AICC","BIC"
6,1,6,4,1,1,27026.7057709872,27026.9497082197,27133.7257686958
7,1,5,2,1,3,27026.7876849782,27027.0316222107,27133.8076826867
7,1,5,0,1,4,27026.8082106542,27027.0263924724,27127.8826529345
5,1,5,4,1,3,27026.8925757299,27027.1365129624,27133.9125734384
6,1,6,0,1,4,27026.8962499907,27027.1144318089,27127.970692271
6,1,6,0,1,5,27026.9141936838,27027.1581309163,27133.9341913923
7,1,6,0,1,3,27026.9753997178,27027.193581536,27128.0498419981
5,1,6,1,1,3,27027.2206099355,27027.4144802135,27122.3494967875
5,1,6,4,1,2,27027.3350597343,27027.5789969668,27134.3550574428
7,1,4,4,1,2,27027.5839536889,27027.8278909214,27134.6039513974
7,1,4,0,1,5,27027.7785838492,27027.9967656673,27128.8530261295
5,1,4,2,1,6,27027.8393688389,27028.0833060714,27134.8593665475
7,1,6,4,1,4,27027.8487483227,27028.2101768941,27158.6509677442
4,1,6,1,1,5,27028.18789649,27028.4060783082,27129.2623387703
5,1,6,1,1,6,27028.2601685308,27028.5313065971,27141.2257216676
5,1,6,5,1,1,27028.2980526596,27028.5419898921,27135.3180503681
7,1,4,0,1,2,27028.325323199,27028.4748958486,27111.5630991945
6,1,4,2,1,6,27028.3621549035,27028.6332929698,27141.3277080403
6,1,6,1,1,5,27028.3898125851,27028.6609506515,27141.3553657219
7,1,5,0,1,6,27028.4007333814,27028.6718714478,27141.3662865182
5,1,5,5,1,3,27028.4179919397,27028.6891300061,27141.3835450766
6,1,6,0,1,3,27028.4287201726,27028.6225904506,27123.5576070247
5,1,5,0,1,2,27028.4551097664,27028.584693248,27105.7473303337
6,1,6,3,1,2,27028.5080484931,27028.7519857256,27135.5280462017
6,1,6,5,1,3,27028.5599787008,27028.8898608857,27153.4166426941
5,1,4,1,1,1,27028.5785022951,27028.6895343236,27099.9251674341
7,1,6,0,1,5,27028.6205728199,27028.8917108863,27141.5861259567
6,1,3,3,1,5,27028.6673611864,27028.9112984189,27135.687358895
6,1,4,5,1,5,27028.7111445591,27029.041026744,27153.5678085524
7,1,5,1,1,4,27028.7758912106,27029.0198284432,27135.7958889192
7,1,6,4,1,2,27028.8055689947,27029.105354862,27147.7166775598
6,1,4,3,1,6,27028.817569945,27029.1173558122,27147.72867851
3,1,6,1,1,6,27028.8654643045,27029.0836461226,27129.9399065848
5,1,6,2,1,5,27028.9978558314,27029.2689938978,27141.9634089682
5,1,5,2,1,5,27029.0329941647,27029.2769313972,27136.0529918732
6,1,6,1,1,4,27029.1590405178,27029.4029777504,27136.1790382264
3,1,6,5,1,4,27029.1770601664,27029.4481982327,27142.1426133032
5,1,6,5,1,2,27029.1837394036,27029.45487747,27142.1492925404
7,1,6,0,1,4,27029.2095283524,27029.453465585,27136.229526061
6,1,3,3,1,6,27029.2115148011,27029.4826528674,27142.1770679379
5,1,5,4,1,5,27029.4170088095,27029.7167946767,27148.3281173745
6,1,4,0,1,5,27029.4296375502,27029.6235078282,27124.5585244022
7,1,3,2,1,5,27029.4688786933,27029.7128159258,27136.4888764019
7,1,4,2,1,4,27029.6301621142,27029.8740993468,27136.6501598228
7,1,6,1,1,3,27029.660996246,27029.9049334786,27136.6809939546
6,1,4,0,1,6,27029.681485372,27029.8996671902,27130.7559276523
5,1,5,2,1,6,27029.8117812176,27030.082919284,27142.7773343544
3,1,6,0,1,2,27030.0036861546,27030.1147181831,27101.3503512937
5,1,6,5,1,3,27030.231573403,27030.5313592702,27149.1426819681
7,1,6,1,1,6,27030.272618017,27030.6025002019,27155.1292820103
4,1,6,4,1,5,27030.3241481115,27030.6239339787,27149.2352566766
7,1,6,0,1,1,27030.5057289936,27030.6767300623,27119.6890604174
7,1,3,2,1,6,27030.5889092007,27030.860047267,27143.5544623375
5,1,6,3,1,6,27030.6097611622,27030.9396433471,27155.4664251555
5,1,6,2,1,6,27030.6523728672,27030.9521587345,27149.5634814323
