"p","d","q","P","D","Q","AIC","AICC","BIC"
3,1,4,1,1,6,27048.2307283105,27048.4017293793,27137.4140597343
5,1,2,4,1,2,27048.2598781151,27048.4094507647,27131.4976541106
4,1,3,4,1,2,27048.2864662899,27048.4360389395,27131.5242422854
5,1,3,0,1,4,27048.2947548042,27048.4243382859,27125.5869753715
4,1,3,3,1,2,27048.3115146147,27048.4410980963,27125.603735182
3,1,4,2,1,4,27048.3432073305,27048.4927799801,27131.580983326
3,1,5,0,1,5,27048.3558081209,27048.5053807705,27131.5935841164
4,1,4,2,1,1,27048.364353928,27048.4753859565,27119.7110190671
4,1,3,2,1,5,27048.393312769,27048.5643138377,27137.5766441928
5,1,2,5,1,1,27048.4253719961,27048.5749446457,27131.6631479916
5,1,3,4,1,3,27048.452890418,27048.646760696,27143.58177727
3,1,5,0,1,4,27048.5473854592,27048.6769689409,27125.8396060265
5,1,2,0,1,3,27048.552150445,27048.6460672006,27113.9532601558
2,1,5,1,1,1,27048.56669208,27048.6449282109,27108.0222463626
5,1,2,3,1,3,27048.5836711397,27048.7332437893,27131.8214471353
5,1,3,0,1,3,27048.6166500644,27048.7276820929,27119.9633152034
5,1,2,0,1,6,27048.639288361,27048.7888610106,27131.8770643566
7,1,3,0,1,4,27048.6958757005,27048.8668767693,27137.8792071243
1,1,6,3,1,4,27048.7347671515,27048.9057682203,27137.9180985753
5,1,4,3,1,4,27048.7540430833,27048.9722249014,27149.8284853636
6,1,3,0,1,1,27048.7636094494,27048.857526205,27114.1647191601
6,1,5,0,1,6,27048.7798348333,27049.0237720658,27155.7998325418
1,1,6,1,1,6,27048.824862742,27048.9958638108,27138.0081941658
2,1,5,1,1,6,27048.8588412533,27049.029842322,27138.0421726771
1,1,4,4,1,6,27048.8639529003,27049.0578231783,27143.9928397524
4,1,6,1,1,1,27048.8868649487,27049.0164484304,27126.179085516
5,1,3,4,1,2,27048.9169205653,27049.087921634,27138.1002519891
2,1,5,0,1,4,27048.9579620971,27049.0689941256,27120.3046272361
1,1,6,3,1,2,27048.9743188681,27049.1039023498,27126.2665394354
4,1,3,2,1,4,27048.9778057919,27049.1273784414,27132.2155817874
7,1,5,1,1,1,27048.999689329,27049.1706903978,27138.1830207528
3,1,5,0,1,3,27049.0401050493,27049.1511370777,27120.3867701883
5,1,2,5,1,2,27049.0826484599,27049.2536495287,27138.2659798837
4,1,3,0,1,2,27049.0839825802,27049.162218711,27108.5395368627
3,1,5,5,1,1,27049.0894491846,27049.2604502533,27138.2727806084
6,1,6,1,1,3,27049.1405288603,27049.3587106785,27150.2149711406
7,1,3,3,1,1,27049.1501546276,27049.3211556964,27138.3334860514
3,1,5,1,1,5,27049.1936691462,27049.3646702149,27138.37700057
2,1,6,5,1,1,27049.2817577381,27049.4527588069,27138.4650891619
1,1,4,3,1,1,27049.3027920039,27049.3810281347,27108.7583462864
5,1,3,1,1,5,27049.3172694873,27049.4882705561,27138.5006009111
5,1,4,0,1,4,27049.350266836,27049.4998394856,27132.5880428316
3,1,5,4,1,2,27049.3666239653,27049.537625034,27138.5499553891
1,1,6,4,1,6,27049.3807913709,27049.6247286035,27156.4007890795
5,1,6,1,1,4,27049.3927688049,27049.6109506231,27150.4672110852
7,1,4,3,1,5,27049.402131073,27049.7019169403,27168.3132396381
3,1,5,2,1,1,27049.4755286488,27049.5865606773,27120.8221937879
5,1,2,1,1,5,27049.4853641223,27049.6349367718,27132.7231401178
5,1,2,1,1,6,27049.4962343235,27049.6672353922,27138.6795657473
7,1,4,3,1,4,27049.5989413718,27049.8700794382,27162.5644945086
7,1,3,1,1,1,27049.6204289896,27049.7500124712,27126.9126495569
4,1,3,1,1,1,27049.6328934148,27049.7111295457,27109.0884476974
1,1,4,0,1,4,27049.6542699521,27049.7325060829,27109.1098242346
3,1,6,4,1,1,27049.7161269987,27049.8871280675,27138.8994584225
6,1,5,5,1,1,27049.731368775,27049.9753060075,27156.7513664836
4,1,6,0,1,3,27049.7431617105,27049.89273436,27132.980937706
4,1,5,0,1,5,27049.7604424193,27049.931443488,27138.9437738431
2,1,5,2,1,5,27049.7810798649,27049.9520809336,27138.9644112887
4,1,6,2,1,3,27049.7824454654,27049.9763157434,27144.9113323175
4,1,4,3,1,2,27049.8425657728,27049.9921384223,27133.0803417683
7,1,6,1,1,2,27049.9280200732,27050.1462018914,27151.0024623535
2,1,5,4,1,1,27049.9300741902,27050.0596576719,27127.2222947575
5,1,3,3,1,4,27049.9346215907,27050.1284918687,27145.0635084427
7,1,2,0,1,4,27049.9555442235,27050.105116873,27133.193320219
7,1,4,1,1,2,27050.0291231344,27050.2001242031,27139.2124545582
5,1,3,3,1,2,27050.0622079977,27050.2117806472,27133.2999839932
5,1,6,0,1,2,27050.0801692681,27050.2297419177,27133.3179452636
2,1,6,1,1,5,27050.1172375836,27050.2882386524,27139.3005690074
5,1,2,2,1,4,27050.1334967137,27050.2830693633,27133.3712727093
5,1,2,3,1,4,27050.1619594801,27050.3329605489,27139.3452909039
3,1,4,5,1,2,27050.171777459,27050.3427785277,27139.3551088828
3,1,5,3,1,2,27050.2006815779,27050.3502542275,27133.4384575735
5,1,2,3,1,6,27050.2371351091,27050.4553169273,27151.3115773895
6,1,6,1,1,1,27050.2635500298,27050.4345510986,27139.4468814536
5,1,3,0,1,6,27050.328716849,27050.4997179178,27139.5120482728
4,1,4,1,1,6,27050.3787281368,27050.5725984148,27145.5076149888
5,1,2,1,1,4,27050.3868027665,27050.5163862482,27127.6790233338
6,1,4,4,1,4,27050.3957371967,27050.6668752631,27163.3612903335
5,1,1,2,1,2,27050.445955331,27050.5398720866,27115.8470650418
5,1,1,1,1,3,27050.4544457992,27050.5483625548,27115.85555551
7,1,6,1,1,1,27050.4590789026,27050.6529491806,27145.5879657547
4,1,6,4,1,1,27050.5094655512,27050.7033358291,27145.6383524032
6,1,4,0,1,4,27050.5404024509,27050.7114035197,27139.7237338747
4,1,5,0,1,3,27050.5758657728,27050.7054492545,27127.8680863401
6,1,2,2,1,6,27050.5777745898,27050.795956408,27151.6522168701
5,1,2,0,1,2,27050.5863409461,27050.6645770769,27110.0418952286
6,1,6,0,1,6,27050.6156540335,27050.8867920999,27163.5812071703
7,1,5,3,1,1,27050.6261913001,27050.8443731183,27151.7006335805
5,1,4,0,1,3,27050.6611153842,27050.7906988658,27127.9533359515
6,1,2,4,1,3,27050.6825567211,27050.8764269991,27145.8114435732
5,1,2,1,1,1,27050.6870498633,27050.7652859941,27110.1426041458
7,1,2,5,1,6,27050.7308349204,27051.0607171053,27175.5874989137
5,1,2,3,1,5,27050.7349226457,27050.9287929237,27145.8638094978
5,1,3,1,1,6,27050.7398929662,27050.9337632442,27145.8687798182
4,1,3,2,1,3,27050.7494410111,27050.8790244927,27128.0416615783
4,1,3,4,1,4,27050.7494771366,27050.9433474146,27145.8783639887
7,1,3,1,1,2,27050.7551635952,27050.9047362447,27133.9929395907
6,1,2,4,1,6,27050.7597032645,27051.0308413308,27163.7252564013
6,1,5,0,1,5,27050.7728060055,27050.9909878236,27151.8472482858
7,1,3,0,1,1,27050.7892116635,27050.9002436919,27122.1358768025
4,1,4,0,1,2,27050.795405674,27050.8893224296,27116.1965153847
7,1,2,4,1,4,27050.8213843441,27051.0653215766,27157.8413820527
6,1,5,0,1,2,27050.89199641,27051.0415690596,27134.1297724055
3,1,5,1,1,6,27050.9347743143,27051.1286445923,27146.0636611664
7,1,4,1,1,4,27050.9377208738,27051.155902692,27152.0121631541
7,1,5,1,1,2,27050.9526766582,27051.1465469362,27146.0815635102
2,1,6,1,1,6,27050.9584551263,27051.1523254043,27146.0873419783
4,1,5,0,1,6,27051.0185330566,27051.2124033346,27146.1474199086
3,1,6,2,1,3,27051.0654887553,27051.236489824,27140.2488201791
3,1,5,0,1,6,27051.0811939981,27051.2521950669,27140.2645254219
5,1,4,2,1,5,27051.0932491801,27051.3114309982,27152.1676914604
3,1,5,1,1,1,27051.1071435486,27051.2010603042,27116.5082532594
6,1,2,4,1,5,27051.1209387807,27051.3648760132,27158.1409364893
2,1,6,2,1,6,27051.1408269098,27051.359008728,27152.2152691901
6,1,2,4,1,1,27051.2284802762,27051.3780529258,27134.4662562718
7,1,2,0,1,3,27051.2695401617,27051.3991236433,27128.561760729
4,1,3,1,1,4,27051.2735530463,27051.4031365279,27128.5657736136
4,1,5,1,1,5,27051.2785225305,27051.4723928085,27146.4074093825
3,1,6,3,1,2,27051.3031275189,27051.4741285877,27140.4864589427
5,1,2,2,1,6,27051.3103186354,27051.5041889134,27146.4392054874
3,1,4,3,1,3,27051.3130949343,27051.4626675839,27134.5508709298
7,1,2,3,1,2,27051.3869374175,27051.5579384863,27140.5702688413
4,1,6,0,1,4,27051.3921891162,27051.5631901849,27140.57552054
3,1,6,5,1,1,27051.4275061081,27051.6213763861,27146.5563929602
1,1,4,5,1,1,27051.4487890809,27051.5598211094,27122.7954542199
7,1,2,5,1,1,27051.4816574785,27051.6755277565,27146.6105443306
6,1,2,1,1,1,27051.5194002477,27051.6133170033,27116.9205099585
6,1,2,5,1,4,27051.5573241602,27051.8012613927,27158.5773218687
4,1,3,0,1,5,27051.5972593696,27051.7268428513,27128.8894799369
4,1,5,5,1,1,27051.6038350594,27051.7977053374,27146.7327219114
7,1,4,1,1,5,27051.6259959171,27051.8699331496,27158.6459936256
6,1,2,2,1,5,27051.7101628053,27051.9040330833,27146.8390496574
7,1,2,2,1,1,27051.7398793256,27051.8694628073,27129.0320998929
1,1,4,0,1,6,27051.7434840757,27051.8545161042,27123.0901492147
7,1,2,1,1,5,27051.7716913095,27051.9655615874,27146.9005781615
2,1,5,2,1,6,27051.8204496878,27052.0143199658,27146.9493365399
2,1,6,3,1,3,27051.8472248185,27052.0182258873,27141.0305562423
7,1,5,0,1,2,27051.8949829217,27052.0659839904,27141.0783143455
4,1,6,0,1,5,27051.9102792176,27052.1041494956,27147.0391660696
3,1,5,5,1,2,27051.912428151,27052.1062984289,27147.041315003
5,1,1,2,1,3,27052.0060816718,27052.1171137002,27123.3527468108
7,1,2,0,1,6,27052.0292594558,27052.2231297338,27147.1581463079
4,1,6,2,1,4,27052.0705840717,27052.2887658899,27153.1450263521
7,1,1,0,1,1,27052.0962105685,27052.1744466993,27111.551764851
4,1,6,2,1,1,27052.1508835147,27052.3004561643,27135.3886595103
3,1,5,5,1,6,27052.1715337485,27052.4713196157,27171.0826423136
3,1,6,1,1,1,27052.1910862066,27052.3021182351,27123.5377513457
3,1,5,2,1,4,27052.2781942116,27052.4491952804,27141.4615256354
5,1,1,3,1,2,27052.2818755225,27052.3929075509,27123.6285406615
3,1,6,5,1,2,27052.2888909265,27052.5070727447,27153.3633332068
6,1,5,0,1,1,27052.4126745362,27052.5422580178,27129.7048951035
5,1,2,1,1,3,27052.4986247395,27052.609656768,27123.8452898785
7,1,2,1,1,6,27052.5123180065,27052.7304998247,27153.5867602868
7,1,2,4,1,2,27052.56073025,27052.754600528,27147.6896171021
6,1,6,0,1,2,27052.6216934678,27052.7926945365,27141.8050248916
6,1,4,0,1,3,27052.7082277355,27052.857800385,27135.946003731
6,1,2,5,1,1,27052.7312774372,27052.902278506,27141.914608861
5,1,1,3,1,1,27052.7558503933,27052.8497671489,27118.1569601041
7,1,2,1,1,4,27052.7608930566,27052.9318941254,27141.9442244804
7,1,4,1,1,6,27052.8007748301,27053.0719128965,27165.7663279669
5,1,1,4,1,1,27052.8156118541,27052.9266438825,27124.1622769931
4,1,6,5,1,1,27052.8523122527,27053.0704940709,27153.926754533
6,1,2,4,1,2,27052.8672775146,27053.0382785833,27142.0506089384
3,1,5,1,1,2,27052.9881543274,27053.0991863558,27124.3348194664
3,1,4,3,1,4,27053.0187008419,27053.1897019106,27142.2020322657
6,1,4,0,1,2,27053.0335044485,27053.1630879302,27130.3257250158
4,1,5,1,1,6,27053.0343979893,27053.2525798075,27154.1088402696
5,1,4,0,1,2,27053.0680985626,27053.1791305911,27124.4147637016
7,1,2,5,1,2,27053.0877128995,27053.3058947177,27154.1621551798
4,1,6,0,1,6,27053.1005285647,27053.3187103829,27154.174970845
3,1,6,0,1,4,27053.1033628062,27053.2529354558,27136.3411388018
1,1,4,1,1,6,27053.1082552401,27053.2378387217,27130.4004758074
6,1,4,0,1,1,27053.1283260901,27053.2393581186,27124.4749912292
5,1,1,0,1,5,27053.2390682788,27053.3501003073,27124.5857334179
6,1,4,4,1,2,27053.3526818493,27053.5708636675,27154.4271241296
5,1,1,0,1,4,27053.5522468818,27053.6461636374,27118.9533565926
6,1,2,1,1,2,27053.5979441909,27053.7089762194,27124.9446093299
4,1,5,0,1,2,27053.6412856576,27053.7523176861,27124.9879507966
7,1,2,1,1,2,27053.7182116638,27053.8477951455,27131.0104322311
4,1,3,1,1,6,27053.7313981967,27053.9023992654,27142.9147296205
5,1,1,4,1,2,27053.8677881713,27053.9973716529,27131.1600087386
4,1,6,3,1,5,27053.9696370518,27054.2407751181,27166.9351901886
4,1,6,4,1,4,27054.0159309292,27054.2870689956,27166.981484066
7,1,3,1,1,6,27054.0716113501,27054.3155485827,27161.0916090587
7,1,2,0,1,1,27054.0886059992,27054.1825227548,27119.48971571
7,1,3,3,1,4,27054.0970301015,27054.340967334,27161.1170278101
5,1,1,3,1,3,27054.1081693658,27054.2377528475,27131.4003899331
5,1,1,5,1,1,27054.118643071,27054.2482265527,27131.4108636383
5,1,1,4,1,4,27054.1568355377,27054.3278366064,27143.3401669615
3,1,6,0,1,3,27054.2171422891,27054.3467257708,27131.5093628564
5,1,1,2,1,4,27054.220953919,27054.3505374007,27131.5131744863
6,1,2,2,1,2,27054.2230615965,27054.3526450782,27131.5152821638
2,1,4,4,1,6,27054.2939178746,27054.5120996928,27155.3683601549
5,1,1,5,1,2,27054.3544731101,27054.5040457596,27137.5922491056
7,1,3,4,1,2,27054.444979033,27054.6631608512,27155.5194213133
3,1,6,3,1,3,27054.4915182797,27054.6853885577,27149.6204051317
5,1,1,0,1,6,27054.5543385198,27054.6839220015,27131.8465590871
4,1,6,3,1,6,27054.5605930566,27054.8603789239,27173.4717016217
4,1,6,0,1,2,27054.6027808542,27054.7323643359,27131.8950014215
4,1,6,3,1,4,27054.6536955052,27054.8976327377,27161.6736932138
4,1,6,3,1,3,27054.7789475024,27054.9971293206,27155.8533897827
5,1,1,1,1,6,27054.8423138025,27054.9918864521,27138.0800897981
5,1,1,2,1,1,27054.9118905458,27054.9901266767,27114.3674448283
7,1,6,0,1,2,27055.0167029898,27055.2105732678,27150.1455898419
3,1,6,1,1,2,27055.1486227784,27055.27820626,27132.4408433457
5,1,1,1,1,5,27056.0521770025,27056.1817604842,27133.3443975698
5,1,1,0,1,3,27056.1285259912,27056.206762122,27115.5840802737
5,1,1,3,1,4,27056.1347831476,27056.2843557972,27139.3725591432
5,1,1,4,1,6,27056.1736077183,27056.3917895365,27157.2480499986
6,1,2,3,1,3,27056.1851003087,27056.3561013774,27145.3684317325
6,1,2,3,1,1,27056.2269018933,27056.356485375,27133.5191224606
6,1,2,2,1,3,27056.3649033767,27056.5144760262,27139.6026793722
6,1,2,2,1,4,27056.3970235791,27056.5680246478,27145.5803550029
6,1,2,4,1,4,27056.5767058273,27056.7948876455,27157.6511481076
7,1,4,2,1,6,27056.6293601725,27056.9291460397,27175.5404687375
7,1,4,5,1,5,27056.716845381,27057.0782739524,27187.5190648025
2,1,4,2,1,6,27056.7544745588,27056.9254756276,27145.9378059826
3,1,6,3,1,5,27056.8352280616,27057.0791652941,27163.8552257702
2,1,4,4,1,4,27056.8425214542,27057.0135225229,27146.025852878
6,1,2,0,1,5,27057.0155821041,27057.1651547536,27140.2533580996
1,1,3,3,1,5,27057.1009946185,27057.2305781001,27134.3932151858
5,1,4,2,1,4,27057.2799753831,27057.4738456611,27152.4088622352
7,1,3,1,1,3,27057.2968164947,27057.4678175635,27146.4801479186
6,1,2,0,1,4,27057.3127029703,27057.442286452,27134.6049235376
5,1,1,1,1,4,27057.4891227857,27057.6001548142,27128.8357879248
1,1,3,4,1,3,27057.6246869927,27057.7357190211,27128.9713521317
6,1,1,0,1,1,27057.7846624157,27057.8486510399,27111.2946612699
1,1,3,2,1,6,27058.0318894959,27058.1614729776,27135.3241100632
6,1,2,0,1,6,27058.3032628068,27058.4742638756,27147.4865942306
6,1,2,3,1,4,27058.4772398394,27058.6711101173,27153.6061266914
6,1,2,1,1,6,27058.530225174,27058.724095452,27153.659112026
1,1,3,4,1,5,27058.6581103805,27058.8076830301,27141.8958863761
6,1,2,3,1,5,27058.6837109624,27058.9018927806,27159.7581532428
1,1,3,3,1,6,27058.776719021,27058.9262916706,27142.0144950166
6,1,2,2,1,1,27058.7904609511,27058.9014929796,27130.1371260901
7,1,1,4,1,3,27059.0209333703,27059.2148036482,27154.1498202223
5,1,6,0,1,1,27059.1850565728,27059.3146400545,27136.4772771401
6,1,2,5,1,2,27059.4284389979,27059.6223092759,27154.55732585
6,1,2,0,1,3,27059.9626268762,27060.0736589046,27131.3092920152
6,1,2,3,1,2,27060.0860923621,27060.2356650117,27143.3238683577
6,1,4,5,1,6,27060.4742865068,27060.8357150783,27191.2765059284
1,1,2,5,1,5,27060.655257197,27060.8048298466,27143.8930331925
5,1,1,1,1,1,27060.7498676786,27060.8138563028,27114.2598665329
5,1,2,5,1,6,27060.7505337823,27061.0216718486,27173.7160869191
5,1,1,0,1,1,27060.8786061391,27060.929778847,27108.4430495652
5,1,1,0,1,2,27060.9942565496,27061.0582451739,27114.5042554039
6,1,2,1,1,4,27061.0368689247,27061.1864415742,27144.2746449202
2,1,2,4,1,3,27062.2804669129,27062.3914989413,27133.6271320519
1,1,3,2,1,5,27062.5232419283,27062.6342739567,27133.8699070673
2,1,2,2,1,5,27062.5726860177,27062.6837180462,27133.9193511568
7,1,1,4,1,6,27062.7419662137,27063.0131042801,27175.7075193506
1,1,4,5,1,5,27062.7958763691,27062.9897466471,27157.9247632212
1,1,3,5,1,3,27062.9186776785,27063.0482611601,27140.2108982458
6,1,2,5,1,6,27062.9581682367,27063.2579541039,27181.8692768017
1,1,2,4,1,3,27063.0236828689,27063.1175996245,27128.4247925797
1,1,2,2,1,5,27063.1834288533,27063.2773456089,27128.5845385641
5,1,1,1,1,2,27063.2260170967,27063.3042532276,27122.6815713793
2,1,2,2,1,6,27063.350154527,27063.4797380087,27140.6423750943
2,1,2,5,1,3,27063.4375049405,27063.5670884222,27140.7297255078
4,1,1,5,1,3,27063.4644281162,27063.6140007658,27146.7022041117
3,1,1,4,1,3,27063.6277687505,27063.738800779,27134.9744338896
4,1,1,3,1,5,27063.6327510176,27063.7823236672,27146.8705270132
2,1,2,4,1,4,27063.6696329449,27063.7992164265,27140.9618535121
1,1,2,2,1,6,27063.6994483364,27063.8104803649,27135.0461134755
1,1,2,5,1,3,27063.7776148896,27063.8886469181,27135.1242800286
1,1,2,3,1,5,27063.9683837191,27064.0794157476,27135.3150488581
3,1,1,2,1,5,27064.0485617101,27064.1595937385,27135.3952268491
3,1,1,2,1,6,27064.0832885963,27064.212872078,27141.3755091636
2,1,3,4,1,3,27064.1244875904,27064.254071072,27141.4167081577
2,1,4,5,1,5,27064.2755223062,27064.4937041244,27165.3499645865
6,1,5,2,1,6,27064.294095853,27064.5938817203,27183.2052044181
3,1,1,5,1,3,27064.3111150242,27064.4406985059,27141.6033355915
2,1,3,2,1,5,27064.3729406663,27064.502524148,27141.6651612336
3,1,2,2,1,5,27064.4383534654,27064.5679369471,27141.7305740327
3,1,1,3,1,5,27064.4946162332,27064.6241997149,27141.7868368005
4,1,1,4,1,3,27064.5891495908,27064.7187330724,27141.8813701581
3,1,1,4,1,4,27064.640614478,27064.7701979596,27141.9328350453
6,1,2,0,1,2,27064.6615586404,27064.755475396,27130.0626683512
1,1,3,3,1,1,27064.6878777681,27064.7518663924,27118.1978766224
6,1,2,0,1,1,27064.7621837956,27064.8404199265,27124.2177380782
3,1,1,5,1,4,27064.8209808064,27064.9705534559,27148.0587568019
1,1,4,4,1,3,27064.9833208427,27065.1129043243,27142.27554141
3,1,2,5,1,3,27065.1104975583,27065.2600702078,27148.3482735538
2,1,3,2,1,6,27065.2476639487,27065.3972365982,27148.4854399442
7,1,3,3,1,3,27065.2538173351,27065.4719991533,27166.3282596154
2,1,3,5,1,3,27065.2786662474,27065.428238897,27148.516442243
2,1,2,3,1,6,27065.3631226835,27065.5126953331,27148.6008986791
2,1,3,3,1,5,27065.369078389,27065.5186510385,27148.6068543845
3,1,5,0,1,1,27065.4376256403,27065.5158617711,27124.8931799228
2,1,3,4,1,4,27065.4378964378,27065.5874690874,27148.6756724333
7,1,1,2,1,5,27065.4519277497,27065.6457980277,27160.5808146017
4,1,1,5,1,4,27065.5141960465,27065.6851971153,27154.6975274703
4,1,1,3,1,6,27065.6009882785,27065.7719893472,27154.7843197023
6,1,6,0,1,1,27065.6968591682,27065.8464318178,27148.9346351637
4,1,2,4,1,3,27065.7071210466,27065.8566936962,27148.9448970421
3,1,2,2,1,6,27065.9704972892,27066.1200699387,27149.2082732847
1,1,2,5,1,4,27065.9767332151,27066.1063166968,27143.2689537824
4,1,2,2,1,5,27065.9923508037,27066.1419234532,27149.2301267992
2,1,4,4,1,3,27066.1199872318,27066.2695598814,27149.3577632274
4,1,3,1,1,2,27066.234248973,27066.3281657286,27131.6353586838
1,1,2,4,1,5,27066.2520727929,27066.3816562745,27143.5442933602
1,1,3,5,1,1,27066.313553523,27066.4074702786,27131.7146632338
3,1,1,4,1,5,27066.3561977513,27066.5057704009,27149.5939737469
1,1,4,4,1,4,27066.3656771426,27066.5152497922,27149.6034531381
3,1,3,2,1,5,27066.3765351936,27066.5261078432,27149.6143111891
2,1,2,1,1,2,27066.4031401286,27066.4543128365,27113.9675835546
3,1,1,3,1,6,27066.5320339834,27066.681606633,27149.769809979
4,1,2,2,1,6,27066.6538817141,27066.8248827828,27155.8372131379
4,1,2,5,1,3,27066.7540855661,27066.9250866349,27155.9374169899
7,1,4,3,1,3,27066.7615806806,27067.0055179131,27173.7815783891
7,1,2,3,1,3,27066.8328530859,27067.0267233638,27161.9617399379
4,1,2,3,1,5,27066.8539000819,27067.0249011507,27156.0372315057
4,1,1,2,1,6,27066.912879106,27067.0624517556,27150.1506551016
4,1,2,4,1,4,27066.933345617,27067.1043466858,27156.1166770408
7,1,4,5,1,1,27067.1553115996,27067.3992488321,27174.1753093082
4,1,5,2,1,1,27067.1896032192,27067.3191867009,27144.4818237865
3,1,3,2,1,6,27067.2104361637,27067.3814372325,27156.3937675875
2,1,4,5,1,3,27067.2121928782,27067.3831939469,27156.395524302
2,1,4,3,1,5,27067.2984801267,27067.4694811955,27156.4818115505
2,1,3,3,1,6,27067.3311467363,27067.5021478051,27156.5144781601
2,1,2,4,1,6,27067.3451368243,27067.516137893,27156.5284682481
2,1,3,5,1,4,27067.3683298612,27067.53933093,27156.551661285
7,1,1,2,1,6,27067.4111898123,27067.6293716305,27168.4856320926
2,1,3,4,1,5,27067.4961106992,27067.6671117679,27156.679442123
3,1,4,0,1,4,27067.542118382,27067.6531504104,27138.888783521
4,1,5,3,1,1,27067.5504612454,27067.700033895,27150.7882372409
1,1,5,4,1,3,27067.6068288484,27067.7564014979,27150.8446048439
6,1,5,3,1,3,27067.7048041308,27067.9487413633,27174.7248018394
1,1,2,2,1,1,27067.7608765516,27067.8006634077,27109.3797645494
1,1,5,2,1,5,27067.7718691475,27067.9214417971,27151.009645143
2,1,2,2,1,1,27067.8035447183,27067.8547174262,27115.3679881444
6,1,5,3,1,5,27067.8361282269,27068.1359140941,27186.747236792
2,1,3,1,1,2,27067.8538698813,27067.9178585056,27121.3638687356
1,1,2,2,1,3,27067.8579843788,27067.9219730031,27121.3679832331
1,1,2,3,1,1,27067.8725673793,27067.9237400872,27115.4370108053
1,1,2,0,1,4,27067.8862504141,27067.937423122,27115.4506938401
3,1,1,5,1,5,27067.8958272423,27068.0668283111,27157.0791586661
3,1,2,1,1,2,27067.9226842874,27067.9866729117,27121.4326831417
2,1,2,3,1,5,27067.9286302212,27068.0582137029,27145.2208507885
2,1,4,4,1,1,27067.9421689051,27068.0532009336,27139.2888340442
3,1,1,4,1,6,27067.9847118963,27068.1557129651,27157.1680433201
5,1,4,0,1,1,27067.9893739322,27068.0832906878,27133.390483643
3,1,4,4,1,3,27067.9944972058,27068.1654982746,27157.1778286296
3,1,1,1,1,2,27068.0018690455,27068.0530417534,27115.5663124715
1,1,3,2,1,1,27068.0208252305,27068.0719979384,27115.5852686565
3,1,3,3,1,5,27068.0912916579,27068.2622927267,27157.2746230817
1,1,3,1,1,6,27068.0971794344,27068.2082114629,27139.4438445735
1,1,2,0,1,3,27068.1287097224,27068.1684965786,27109.7475977202
7,1,1,3,1,3,27068.1966035968,27068.3676046656,27157.3799350206
2,1,2,3,1,1,27068.2402842576,27068.3042728818,27121.7502831119
4,1,1,5,1,5,27068.2425680852,27068.4364383632,27163.3714549373
2,1,2,0,1,3,27068.255678087,27068.3068507949,27115.820121513
2,1,2,0,1,4,27068.2623175982,27068.3263062224,27121.7723164525
1,1,3,0,1,4,27068.3273324809,27068.3913211051,27121.8373313351
2,1,2,2,1,2,27068.4777784176,27068.5417670418,27121.9877772719
1,1,2,1,1,1,27068.4919612753,27068.5217908208,27104.1652938448
1,1,3,0,1,3,27068.5211383687,27068.5723110766,27116.0855817948
2,1,3,4,1,6,27068.6542155022,27068.8480857801,27163.7831023542
1,1,2,0,1,2,27068.6619034274,27068.6917329728,27104.3352359969
4,1,2,3,1,6,27068.6971206966,27068.8909909745,27163.8260075486
4,1,5,2,1,2,27068.7622672345,27068.911839884,27152.00004323
6,1,6,1,1,2,27068.7896143483,27068.9834846263,27163.9185012003
4,1,2,5,1,4,27068.8043330905,27068.9982033685,27163.9332199426
1,1,5,2,1,6,27068.8116987302,27068.9826997989,27157.995030154
4,1,6,3,1,1,27068.8891152722,27069.060116341,27158.072446696
1,1,2,0,1,1,27068.955433117,27068.9767323715,27098.6832102582
2,1,2,1,1,1,27068.9675641167,27069.0073509728,27110.5864521145
7,1,1,3,1,4,27069.0957329099,27069.2896031879,27164.2246197619
1,1,6,2,1,5,27069.1423604056,27069.3133614744,27158.3256918294
2,1,2,0,1,2,27069.2201802968,27069.2599671529,27110.8390682946
7,1,6,5,1,1,27069.2449966241,27069.5447824913,27188.1561051891
1,1,3,1,1,1,27069.2628217577,27069.3026086138,27110.8817097554
4,1,4,4,1,3,27069.2756855057,27069.4695557837,27164.4045723578
2,1,4,3,1,6,27069.2947830432,27069.4886533212,27164.4236698953
2,1,4,5,1,4,27069.2989433463,27069.4928136243,27164.4278301984
3,1,1,0,1,4,27069.3044395777,27069.3684282019,27122.814438432
3,1,1,3,1,1,27069.336528141,27069.4005167652,27122.8465269953
1,1,6,4,1,3,27069.3485796145,27069.5195806833,27158.5319110383
7,1,1,4,1,5,27069.4525692327,27069.6965064653,27176.4725669413
3,1,2,2,1,1,27069.5045504681,27069.5685390923,27123.0145493224
1,1,3,0,1,2,27069.5231338091,27069.5629206652,27111.1420218069
1,1,2,0,1,5,27069.5690044973,27069.6329931215,27123.0790033516
3,1,1,3,1,4,27069.5801195151,27069.6911515436,27140.9267846541
3,1,1,2,1,1,27069.5875548361,27069.638727544,27117.1519982621
4,1,4,2,1,5,27069.5930288745,27069.7868991524,27164.7219157265
3,1,4,1,1,2,27069.6289147931,27069.7228315487,27135.0300245039
1,1,2,4,1,1,27069.6714137406,27069.7354023648,27123.1814125949
2,1,4,4,1,5,27069.6826510613,27069.8765213393,27164.8115379133
7,1,1,5,1,4,27069.6910200668,27069.9349572993,27176.7110177753
2,1,2,5,1,6,27069.8247011543,27070.0185714323,27164.9535880064
2,1,2,0,1,5,27069.8463384832,27069.9245746141,27129.3018927658
