"p","q","P","Q","fejl"
2,2,4,5,"non-finite finite-difference value [3]"
4,2,4,5,"non-finite finite-difference value [9]"
3,3,4,5,"initial value in 'vmmin' is not finite"
4,3,4,5,"non-finite finite-difference value [4]"
5,3,4,5,"non-finite finite-difference value [5]"
7,3,4,5,"non-finite finite-difference value [7]"
6,4,4,5,"non-finite finite-difference value [1]"
7,4,4,5,"non-finite finite-difference value [1]"
1,5,4,5,"initial value in 'vmmin' is not finite"
2,5,4,5,"initial value in 'vmmin' is not finite"
3,5,4,5,"non-finite finite-difference value [6]"
4,5,4,5,"non-finite finite-difference value [4]"
6,5,4,5,"non-finite finite-difference value [6]"
1,6,4,5,"initial value in 'vmmin' is not finite"
2,6,4,5,"non-finite finite-difference value [3]"
3,6,4,5,"non-finite finite-difference value [3]"
6,6,4,5,"non-finite finite-difference value [20]"
7,6,4,5,"non-finite finite-difference value [2]"
7,1,5,5,"non-finite finite-difference value [5]"
2,2,5,5,"non-finite finite-difference value [2]"
3,2,5,5,"non-finite finite-difference value [13]"
4,2,5,5,"non-finite finite-difference value [1]"
6,2,5,5,"non-finite finite-difference value [6]"
7,2,5,5,"non-finite finite-difference value [14]"
1,3,5,5,"non-finite finite-difference value [1]"
2,3,5,5,"non-finite finite-difference value [2]"
3,3,5,5,"initial value in 'vmmin' is not finite"
4,3,5,5,"non-finite finite-difference value [1]"
5,3,5,5,"non-finite finite-difference value [1]"
7,3,5,5,"non-finite finite-difference value [1]"
3,4,5,5,"non-finite finite-difference value [12]"
4,4,5,5,"non-finite finite-difference value [1]"
5,4,5,5,"non-finite finite-difference value [13]"
3,5,5,5,"non-finite finite-difference value [3]"
4,5,5,5,"non-finite finite-difference value [5]"
6,5,5,5,"non-finite finite-difference value [1]"
7,5,5,5,"initial value in 'vmmin' is not finite"
1,6,5,5,"non-finite finite-difference value [1]"
2,6,5,5,"non-finite finite-difference value [11]"
4,6,5,5,"non-finite finite-difference value [3]"
5,6,5,5,"non-finite finite-difference value [5]"
6,6,5,5,"initial value in 'vmmin' is not finite"
4,1,1,6,"non-finite finite-difference value [2]"
1,5,1,6,"non-finite finite-difference value [1]"
6,5,1,6,"non-finite finite-difference value [6]"
7,5,1,6,"non-finite finite-difference value [7]"
1,1,2,6,"non-finite finite-difference value [1]"
4,5,2,6,"non-finite finite-difference value [4]"
7,5,2,6,"non-finite finite-difference value [6]"
3,6,2,6,"non-finite finite-difference value [3]"
1,2,3,6,"non-finite finite-difference value [1]"
3,3,3,6,"non-finite finite-difference value [4]"
4,3,3,6,"non-finite finite-difference value [2]"
7,3,3,6,"non-finite finite-difference value [7]"
1,4,3,6,"non-finite finite-difference value [1]"
5,4,3,6,"non-finite finite-difference value [1]"
7,4,3,6,"non-finite finite-difference value [7]"
1,5,3,6,"non-finite finite-difference value [1]"
6,5,3,6,"non-finite finite-difference value [7]"
7,5,3,6,"non-finite finite-difference value [6]"
1,6,3,6,"non-finite finite-difference value [1]"
1,1,4,6,"non-finite finite-difference value [3]"
4,1,4,6,"non-finite finite-difference value [2]"
1,2,4,6,"non-finite finite-difference value [5]"
3,2,4,6,"initial value in 'vmmin' is not finite"
5,2,4,6,"non-finite finite-difference value [5]"
7,2,4,6,"non-finite finite-difference value [3]"
3,3,4,6,"initial value in 'vmmin' is not finite"
4,3,4,6,"non-finite finite-difference value [9]"
5,3,4,6,"non-finite finite-difference value [1]"
7,3,4,6,"non-finite finite-difference value [7]"
3,4,4,6,"non-finite finite-difference value [6]"
5,4,4,6,"non-finite finite-difference value [5]"
6,4,4,6,"non-finite finite-difference value [6]"
7,4,4,6,"initial value in 'vmmin' is not finite"
1,5,4,6,"non-finite finite-difference value [3]"
2,5,4,6,"initial value in 'vmmin' is not finite"
3,5,4,6,"non-finite finite-difference value [12]"
4,5,4,6,"non-finite finite-difference value [4]"
6,5,4,6,"non-finite finite-difference value [1]"
7,5,4,6,"non-finite finite-difference value [1]"
4,6,4,6,"non-finite finite-difference value [4]"
6,6,4,6,"non-finite finite-difference value [6]"
7,6,4,6,"non-finite finite-difference value [1]"
1,1,5,6,"non-finite finite-difference value [1]"
3,1,5,6,"non-finite finite-difference value [2]"
4,1,5,6,"non-finite finite-difference value [3]"
1,2,5,6,"non-finite finite-difference value [1]"
3,2,5,6,"initial value in 'vmmin' is not finite"
3,3,5,6,"non-finite finite-difference value [3]"
4,3,5,6,"non-finite finite-difference value [1]"
5,3,5,6,"non-finite finite-difference value [1]"
7,3,5,6,"non-finite finite-difference value [1]"
1,4,5,6,"non-finite finite-difference value [1]"
2,4,5,6,"non-finite finite-difference value [1]"
3,4,5,6,"non-finite finite-difference value [3]"
4,4,5,6,"non-finite finite-difference value [3]"
